DisNo.,Classification Key,Event Name,ISO,Country,Subregion,Region,Location,Latitude,Longitude,OFDA/BHA Response,Appeal,Declaration,Magnitude,Magnitude Scale,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
StringFilter,StringFilter,StringFilter,StringFilter,StringFilter,CSVFilter,CategoryFilter,MapsTooltip - Hidden - StringFilter,MapsLat - Hidden - NoFilter,MapsLong - Hidden - NoFilter,CategoryFilter,CategoryFilter,StringFilter,StringFilter,StringFilter,StringFilter,,CSVFilter,StringFilter,StringFilter,StringFilter,StringFilter,StringFilter,CSVFilter,CSVFilter,StringFilter,StringFilter,StringFilter,StringFilter,CategoryFilter,StringFilter,StringFilter,StringFilter,CategoryFilter,
2016-0001-POL,nat-met-ext-col,,POL,Poland,Eastern Europe,Europe,"Dolnoslaskie, Kujawsko-Pomorskie, Lodzkie, Lubeiskie, Lubuskie, Malopolske, Mazowieckie, Opolskie, Podkarpackie, Podlaskie, Slaskie, Swietokrzyskie, Warminsko-Mazurskie, Wielkopolskie, Zachodnio-Pomorskie provinces",51.7592924,19.4558778,No,No,No,,,2016,1,2,2016,1,4,,,,,,,,,78.767923,"[{""adm1_code"":2370,""adm1_name"":""Dolnoslaskie""},{""adm1_code"":2371,""adm1_name"":""Kujawsko-Pomorskie""},{""adm1_code"":2372,""adm1_name"":""Lodzkie""},{""adm1_code"":2373,""adm1_name"":""Lubeiskie""},{""adm1_code"":2374,""adm1_name"":""Lubuskie""},{""adm1_code"":2375,""adm1_name"":""Malopolske""},{""adm1_code"":2376,""adm1_name"":""Mazowieckie""},{""adm1_code"":2377,""adm1_name"":""Opolskie""},{""adm1_code"":2378,""adm1_name"":""Podkarpackie""},{""adm1_code"":2379,""adm1_name"":""Podlaskie""},{""adm1_code"":2380,""adm1_name"":""Pomorskie""},{""adm1_code"":2381,""adm1_name"":""Slaskie""},{""adm1_code"":2382,""adm1_name"":""Swietokrzyskie""},{""adm1_code"":2383,""adm1_name"":""Warminsko-Mazurskie""},{""adm1_code"":2384,""adm1_name"":""Wielkopolskie""},{""adm1_code"":2385,""adm1_name"":""Zachodnio-Pomorskie""}]",2016-01-12,2023-09-25,,
2016-0001-UKR,nat-met-ext-col,,UKR,Ukraine,Eastern Europe,Europe,"Cherkas'ka, Chernihivs'ka, Chernivets'ka, Dnipropetrovs'ka, Donets'ka, Ivano-frankivs'ka, Kharkivs'ka, Khersons'ka, Khmel'nyts'ka, Kirovohrads'ka, Krym, Kyyivs'ka, L'vivs'ka, Luhans'ka, Mykolayivs'ka, Odes'ka, Poltavs'ka, Rivnens'ka, Sums'ka, Ternopil's'ka, Vinnyts'ka, Volyns'ka, Zakarpats'ka, Zaporiz'ka, Zhytomyrs'ka",46.9660801,32.003246,No,No,No,,,2016,1,1,2016,1,12,,,,,,,,,78.767923,"[{""adm1_code"":3148,""adm1_name"":""Cherkas'ka""},{""adm1_code"":3149,""adm1_name"":""Chernihivs'ka""},{""adm1_code"":3150,""adm1_name"":""Chernivets'ka""},{""adm1_code"":3151,""adm1_name"":""Dnipropetrovs'ka""},{""adm1_code"":3152,""adm1_name"":""Donets'ka""},{""adm1_code"":3153,""adm1_name"":""Ivano-frankivs'ka""},{""adm1_code"":3154,""adm1_name"":""Kharkivs'ka""},{""adm1_code"":3155,""adm1_name"":""Khersons'ka""},{""adm1_code"":3156,""adm1_name"":""Khmel'nyts'ka""},{""adm1_code"":3157,""adm1_name"":""Kirovohrads'ka""},{""adm1_code"":3158,""adm1_name"":""Krym""},{""adm1_code"":3159,""adm1_name"":""Kyyivs'ka""},{""adm1_code"":3160,""adm1_name"":""L'vivs'ka""},{""adm1_code"":3161,""adm1_name"":""Luhans'ka""},{""adm1_code"":3162,""adm1_name"":""Mykolayivs'ka""},{""adm1_code"":3163,""adm1_name"":""Odes'ka""},{""adm1_code"":3164,""adm1_name"":""Poltavs'ka""},{""adm1_code"":3165,""adm1_name"":""Rivnens'ka""},{""adm1_code"":3166,""adm1_name"":""Sums'ka""},{""adm1_code"":3167,""adm1_name"":""Ternopil's'ka""},{""adm1_code"":3168,""adm1_name"":""Vinnyts'ka""},{""adm1_code"":3169,""adm1_name"":""Volyns'ka""},{""adm1_code"":3170,""adm1_name"":""Zakarpats'ka""},{""adm1_code"":3171,""adm1_name"":""Zaporiz'ka""},{""adm1_code"":3172,""adm1_name"":""Zhytomyrs'ka""}]",2017-03-31,2023-09-25,,
2016-0002-BGD,nat-geo-ear-gro,,BGD,Bangladesh,Southern Asia,Asia,"Dhaka, Jamalpur districts (Dhaka province), Rajshahi district (Rajshahi province), Lalmonirhat, Panchagarh districts (Rangpur province)",24.3746497,88.6003665,No,No,No,24.804,93.65,2016,1,3,2016,1,3,,70,,,,,,,78.767923,"[{""adm2_code"":5778,""adm2_name"":""Dhaka""},{""adm2_code"":5782,""adm2_name"":""Jamalpur""},{""adm2_code"":5817,""adm2_name"":""Rajshahi""},{""adm2_code"":5810,""adm2_name"":""Lalmonirhat""},{""adm2_code"":5816,""adm2_name"":""Panchagarh""}]",2016-01-12,2023-09-25,,
2016-0002-IND,nat-geo-ear-gro,,IND,India,Southern Asia,Asia,"Guwahati city (Kamrup district, Assam province), East Imphal, West Imphal, Senapati, Thoubal, Bishnupur, Tamenglong districts (Manipur province)",26.1653859,91.7380647,No,No,No,24.804,93.65,2016,1,3,2016,1,3,10500,10808,,,,,75000,95216,78.767923,"[{""adm2_code"":17583,""adm2_name"":""Kamrup""},{""adm2_code"":70188,""adm2_name"":""Bishnupur""},{""adm2_code"":70191,""adm2_name"":""East Imphal""},{""adm2_code"":70192,""adm2_name"":""Senapati""},{""adm2_code"":70193,""adm2_name"":""Tamenglong""},{""adm2_code"":70194,""adm2_name"":""Thoubal""},{""adm2_code"":70196,""adm2_name"":""West Imphal""}]",2016-01-12,2023-09-25,,
2016-0003-PAK,tec-tra-roa-roa,,PAK,Pakistan,Southern Asia,Asia,Karak district,33.1276716,71.097317,No,No,No,,,2016,1,3,2016,1,3,,6,,,,,,,78.767923,,2016-01-12,2023-09-25,,
2016-0004-TON,nat-met-sto-tro,Cyclone Ulla,TON,Tonga,Polynesia,Oceania,"Vava'u, Ha'apai islands (Administrative unit not available)",-19.7308846,-174.288444,No,No,No,,,2016,1,2,2016,1,2,392,392,,,,,,,78.767923,"[{""adm1_code"":2976,""adm1_name"":""Administrative unit not available""}]",2016-01-12,2023-09-25,,
2016-0005-EGY,tec-tra-wat-wat,Ferry,EGY,Egypt,Northern Africa,Africa,Kafr al-Cheikh province,31.1106593,30.9387799,No,No,No,,,2016,1,1,2016,1,1,,,,,,,,,78.767923,,2016-01-12,2023-09-25,,
2016-0006-GRC,tec-tra-wat-wat,Migrants,GRC,Greece,Southern Europe,Europe,Egean sea,39.019184,25.268555,No,No,No,,,2016,1,30,2016,1,30,75,75,,,,,,,78.767923,,2016-02-01,2023-09-25,,
2016-0007-RUS,tec-mis-fir-fir,Factory,RUS,Russian Federation,Eastern Europe,Europe,Moscou,55.755826,37.6173,No,No,No,,,2016,1,31,2016,1,31,,,,,,,,,78.767923,,2016-02-02,2023-09-25,,
2016-0008-GRC,tec-tra-wat-wat,Migrants,GRC,Greece,Southern Europe,Europe,Near Samos Isl. (Egean sea),37.7547857,26.9777701,No,No,No,,,2016,1,28,2016,1,28,,11,,,,,,,78.767923,,2016-02-02,2023-09-25,,
2016-0009-MYS,tec-tra-wat-wat,Migrants,MYS,Malaysia,South-eastern Asia,Asia,Dear Johor state,1.9343998,103.3587288,No,No,No,,,2016,1,26,2016,1,26,,,,,,,,,78.767923,,2016-02-02,2023-09-25,,
2016-0010-USA,nat-met-sto-bli,Storm Jonas (Snowzilla),USA,United States of America,Northern America,Americas,"Washington D.C. (District of Columbia district, District of Columbia province), New York, New Jersey, Pennsylvania, Maryland, Virginia, Tennessee, Kentucky, Delaware, West Virginia, Georgia, North Carolina provinces ",38.9071923,-77.0368707,No,No,Yes,,,2016,1,23,2016,1,26,85000000,85000012,,,240000,304693,550000,698254,78.767923,"[{""adm1_code"":3221,""adm1_name"":""Delaware""},{""adm1_code"":3222,""adm1_name"":""District of Columbia""},{""adm1_code"":3224,""adm1_name"":""Georgia""},{""adm1_code"":3231,""adm1_name"":""Kentucky""},{""adm1_code"":3234,""adm1_name"":""Maryland""},{""adm1_code"":3244,""adm1_name"":""New Jersey""},{""adm1_code"":3246,""adm1_name"":""New York""},{""adm1_code"":3247,""adm1_name"":""North Carolina""},{""adm1_code"":3252,""adm1_name"":""Pennsylvania""},{""adm1_code"":3256,""adm1_name"":""Tennessee""},{""adm1_code"":3260,""adm1_name"":""Virginia""},{""adm1_code"":3262,""adm1_name"":""West Virginia""}]",2016-02-02,2023-09-25,,
2016-0013-USA,tec-ind-gas-gas,,USA,United States of America,Northern America,Americas,Los Angeles (California),34.0549076,-118.242643,No,No,Yes,,,2016,1,6,2016,1,6,,,,,,,,,78.767923,,2016-02-02,2023-09-25,,
2016-0015-MEX,tec-tra-roa-roa,,MEX,Mexico,Latin America and the Caribbean,Americas,Atoyac (Vercaruz state),18.9128113,-96.7788461,No,No,No,,,2016,1,11,2016,1,11,,,,,,,,,78.767923,,2016-02-02,2023-09-25,,
2016-0016-COL,tec-tra-wat-wat,Migrants,COL,Colombia,Latin America and the Caribbean,Americas,Caribbean Sea,14.5401107,-74.9676365,No,No,No,,,2016,1,10,2016,1,10,,,,,,,,,78.767923,,2016-02-02,2023-09-25,,
2016-0017-JPN,tec-tra-roa-roa,,JPN,Japan,Eastern Asia,Asia,Karuizawa,36.3483927,138.5970297,No,No,No,,,2016,1,14,2016,1,14,,27,,,,,,,78.767923,,2016-02-02,2023-09-25,,
2016-0019-IDN,nat-geo-ear-gro,,IDN,Indonesia,South-eastern Asia,Asia,"Maluku, Maluku Utara provinces",1.5709993,127.8087693,No,No,No,-3.863,127.229,2016,1,16,2016,1,16,360,368,,,,,,,78.767923,"[{""adm1_code"":73615,""adm1_name"":""Maluku""},{""adm1_code"":73616,""adm1_name"":""Maluku Utara""}]",2016-02-03,2023-09-25,,
2016-0020-PER,tec-tra-roa-roa,,PER,Peru,Latin America and the Caribbean,Americas,Junin region,-11.55,-74.583333,No,No,No,,,2016,1,18,2016,1,18,,10,,,,,,,78.767923,,2016-02-03,2023-09-25,,
2016-0022-USA,tec-tra-air-air,Helicopter,USA,United States of America,Northern America,Americas,Near Oahu coast (Hawai),21.4389123,-158.0000565,No,No,No,,,2016,1,14,2016,1,14,,,,,,,,,78.767923,,2016-02-03,2023-09-25,,
